nodeid,lat,long
901,40.6414,-73.7882
902,40.6414,-73.7881
903,40.6414,-73.788
904,40.6414,-73.7879
905,40.6414,-73.7874
906,40.6414,-73.7872
907,40.6415,-73.9771
908,40.6415,-73.9534
909,40.6415,-73.7893
910,40.6415,-73.7891
911,40.6415,-73.7889
912,40.6415,-73.7888
913,40.6415,-73.7887
914,40.6415,-73.7886
915,40.6415,-73.7885
916,40.6415,-73.7884
917,40.6415,-73.7883
918,40.6415,-73.7882
919,40.6415,-73.7881
920,40.6415,-73.788
921,40.6415,-73.7879
922,40.6415,-73.7876
923,40.6416,-73.9673
924,40.6416,-73.7892
925,40.6416,-73.7891
926,40.6416,-73.789
927,40.6416,-73.7889
928,40.6416,-73.7888
929,40.6416,-73.7887
930,40.6416,-73.7886
931,40.6416,-73.7885
932,40.6416,-73.7882
933,40.6416,-73.7881
934,40.6416,-73.788
935,40.6416,-73.7879
936,40.6416,-73.7878
937,40.6416,-73.7875
938,40.6416,-73.7869
939,40.6416,-73.7868
940,40.6416,-73.7159
941,40.6417,-73.9634
942,40.6417,-73.7892
943,40.6417,-73.7891
944,40.6417,-73.789
945,40.6417,-73.7889
946,40.6417,-73.7888
947,40.6417,-73.7887
948,40.6417,-73.7886
949,40.6417,-73.7885
950,40.6417,-73.7883
951,40.6417,-73.7882
952,40.6417,-73.7881
953,40.6417,-73.788
954,40.6418,-74.0173
955,40.6418,-73.9925
956,40.6418,-73.9631
957,40.6418,-73.9616
958,40.6418,-73.9607
959,40.6418,-73.7893
960,40.6418,-73.7892
961,40.6418,-73.7891
962,40.6418,-73.7886
963,40.6418,-73.7883
964,40.6418,-73.7882
965,40.6418,-73.7881
966,40.6418,-73.7865
967,40.6418,-73.7863
968,40.6419,-73.9594
969,40.6419,-73.9586
970,40.6419,-73.7894
971,40.6419,-73.7893
972,40.6419,-73.7892
973,40.6419,-73.7887
974,40.6419,-73.7886
975,40.6419,-73.7885
976,40.6419,-73.7883
977,40.6419,-73.7882
978,40.6419,-73.7881
979,40.642,-73.9887
980,40.642,-73.9627
981,40.642,-73.9572
982,40.642,-73.9535
983,40.642,-73.9515
984,40.642,-73.7894
985,40.642,-73.7889
986,40.642,-73.7888
987,40.642,-73.7887
988,40.642,-73.7886
989,40.642,-73.7885
990,40.642,-73.7883
991,40.642,-73.7882
992,40.642,-73.7881
993,40.642,-73.788
994,40.642,-73.7862
995,40.6421,-73.9581
996,40.6421,-73.9478
997,40.6421,-73.9429
998,40.6421,-73.7907
999,40.6421,-73.7903
1000,40.6421,-73.7895
1001,40.6421,-73.7889
1002,40.6421,-73.7888
1003,40.6421,-73.7887
1004,40.6421,-73.7886
1005,40.6421,-73.7884
1006,40.6421,-73.7879
1007,40.6421,-73.7861
1008,40.6422,-73.7894
1009,40.6422,-73.7893
1010,40.6422,-73.789
1011,40.6422,-73.7889
1012,40.6422,-73.7887
1013,40.6422,-73.7885
1014,40.6422,-73.7884
1015,40.6422,-73.7876
1016,40.6423,-73.9576
1017,40.6423,-73.7893
1018,40.6423,-73.7892
1019,40.6423,-73.7891
1020,40.6423,-73.789
1021,40.6423,-73.7889
1022,40.6423,-73.7862
1023,40.6424,-73.9743
1024,40.6424,-73.9617
1025,40.6424,-73.9596
1026,40.6424,-73.7891
1027,40.6424,-73.7888
1028,40.6424,-73.7884
1029,40.6424,-73.7861
1030,40.6425,-73.7895
1031,40.6425,-73.7893
1032,40.6425,-73.7892
1033,40.6425,-73.7891
1034,40.6425,-73.7881
1035,40.6425,-73.7809
1036,40.6425,-73.7011
1037,40.6426,-73.9926
1038,40.6426,-73.9763
1039,40.6426,-73.9638
1040,40.6426,-73.7893
1041,40.6426,-73.7892
1042,40.6426,-73.7889
1043,40.6426,-73.7884
1044,40.6427,-74.0166
1045,40.6427,-74.013
1046,40.6427,-74.0128
1047,40.6427,-73.9657
1048,40.6427,-73.9614
1049,40.6427,-73.9561
1050,40.6427,-73.9545
1051,40.6427,-73.9151
1052,40.6427,-73.79
1053,40.6427,-73.7898
1054,40.6427,-73.7896
1055,40.6427,-73.7895
1056,40.6427,-73.7891
1057,40.6427,-73.7889
1058,40.6427,-73.7887
1059,40.6428,-74.0165
1060,40.6428,-73.9826
1061,40.6428,-73.9743
1062,40.6428,-73.9554
1063,40.6428,-73.7895
1064,40.6428,-73.7892
1065,40.6428,-73.7891
1066,40.6428,-73.7887
1067,40.6428,-73.7861
1068,40.6428,-73.7814
1069,40.6429,-74.0194
1070,40.6429,-74.0097
1071,40.6429,-73.9793
1072,40.6429,-73.9783
1073,40.6429,-73.9779
1074,40.6429,-73.9743
1075,40.6429,-73.9526
1076,40.6429,-73.9392
1077,40.6429,-73.7899
1078,40.6429,-73.7897
1079,40.6429,-73.7896
1080,40.643,-73.9908
1081,40.643,-73.9792
1082,40.643,-73.9769
1083,40.643,-73.7898
1084,40.643,-73.7897
1085,40.643,-73.7896
